,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
0,0.3984185796606548,0.11822431640950659,0.24608365837588989,0.007135599964661402,0.24665574300921886,R
1,0.4244763582768772,0.297742264198608,0.1852058928433737,0.4893491131440357,0.13489639547872412,R
2,0.886773878393608,0.5777166763152566,0.9969064489046222,0.6649145596414937,0.8853660534938155,M
3,0.20698424067015114,0.2693304729370525,0.028376135089091464,0.023700984596172633,0.13723918907146937,R
4,0.028692388409832136,0.26451808320773407,0.5299820732584006,0.018290221677753408,0.40803295356215663,R
5,0.4767962968602901,0.8975607103095771,0.5794735827468847,0.8228099221565734,0.4985546039397472,M
6,0.37289010461295835,0.26961319953206336,0.27444897450557876,0.4646745031652987,0.4197313921338283,R
7,0.6896011609779308,0.9273339339977296,0.4554198388025438,0.6161580041815881,0.9196001068418531,M
8,0.4457688027464173,0.009469989991912344,0.2114047457919206,0.4523462187478787,0.46816780218641296,R
9,0.4298941507169684,0.4736558074845935,0.9419646256442975,0.7297573544226794,0.6490487927267163,M
10,0.4178998576894397,0.8349948051396731,0.7868609300096168,0.8094559894089355,0.6844157576281558,M
11,0.10057411617060208,0.44593419984989074,0.24331480301685818,0.11411711811909157,0.44343277766167444,R
12,0.5818569949334855,0.9659079993878414,0.6065462908199075,0.9717422396731348,0.6347345457633181,M
13,0.05984676116718838,0.3947475936042893,0.4498979139184731,0.35097227690317157,0.11581292114230086,R
14,0.7094939417456027,0.637398542498955,0.6206923575417231,0.7169151874538647,0.6327864632768514,M
15,0.505776695406281,0.4573854302493601,0.4566383146274913,0.7807721798486233,0.8307244267377913,M
16,0.9312513566335916,0.8558935756563847,0.7710212341327338,0.6603798438443583,0.8217029108210866,M
17,0.5205812534375747,0.5177704382226408,0.7693667358271323,0.4382896776213422,0.87809003219307,M
18,0.7454115894513434,0.6412628711044851,0.9249413833907538,0.479255635420306,0.7760694769764505,M
19,0.5437963095973967,0.5387248280923187,0.07152123449940603,0.3309935922519487,0.1799891084340892,R
20,0.8379386536126265,0.9457103492704666,0.6444912481473869,0.689596630477289,0.4597663350434303,M
21,0.45898906013920837,0.4537673168913931,0.14308561977874373,0.43648910134600605,0.44340279544698774,R
22,0.9727837518046738,0.9065799072209797,0.8884100172578624,0.9580572047689153,0.775058246860192,M
23,0.6109338740456356,0.47580876921173243,0.9844098932575944,0.7750229558997931,0.5705412406339415,M
24,0.45031634044862245,0.4576412628224052,0.10832793614828402,0.16183493868940785,0.5362716948284927,R
25,0.477464323465645,0.4030310405826999,0.0047961465843699026,0.22875993119231472,0.06173455101030582,R
26,0.5036792032604653,0.6880388370170254,0.5015439911450422,0.7467451007981643,0.8838951297970752,M
27,0.13535395645826762,0.12326142179602671,0.35535001119390563,0.13021686818028932,0.020499516945412324,R
28,0.4553769544120867,0.9740025138993729,0.4797034110002944,0.8022531959552188,0.557791201057197,M
29,0.9789518949443397,0.6692922031921976,0.655993362332819,0.7791776948671312,0.5362024911697303,M
30,0.7547346213745829,0.7015997180383708,0.8015868893402448,0.5641572368877544,0.5495680194907923,M
31,0.5233870455493969,0.4814853665566991,0.7421607060351616,0.4157114747517539,0.7760400602604887,M
32,0.07291805483030583,0.03976592521622852,0.2928616065530873,0.41825141093586865,0.3398036914590736,R
33,0.5540531900326532,0.35127993263303436,0.44632840718612066,0.5732464347520021,0.37569205326804334,R
34,0.8804378805347994,0.7476652777161807,0.9826325851363995,0.567859543572319,0.8283363581046761,M
35,0.294839835036149,0.40304835326255894,0.5720927324244007,0.3864296775452195,0.5109642122491242,R
36,0.17745068037104839,0.0043296124129284025,0.4903372757045385,0.49686143616768763,0.11462531214775891,R
37,0.6451940436922325,0.9886590029940048,0.6853835640918597,0.7303457148725091,0.4781286492114595,M
38,0.8058806619010748,0.5286810325603775,0.47710788388326414,0.591712821767208,0.5070272586022393,M
39,0.14642181449346967,0.4131618226276926,0.419357243197143,0.10937891469546124,0.006707665788233842,R
40,0.5279533943678426,0.560310994831207,0.16911613090787536,0.323613263815128,0.5420707370664686,R
41,0.8810253899603662,0.6159639803812544,0.8655417235013085,0.8697041149795709,0.437566374338002,M
42,0.11193595666713256,0.18425774153431698,0.340839998239672,0.08480627766979115,0.4286958550370213,R
43,0.4976773440763092,0.08600306008181871,0.21330850690125958,0.509223360201061,0.12282256000745728,R
44,0.40491054556144873,0.26247165412504847,0.2457509635041428,0.47720482298857647,0.05658479209291271,R
45,0.8195211739608961,0.8630656041409912,0.89827764582246,0.4776777046090135,0.8839057536533804,M
46,0.05697838054838327,0.39947237897423654,0.4715831187458382,0.554136406025887,0.15433689314684895,R
47,0.09747086519428341,0.056480711355678705,0.3721002262586815,0.45081395039626676,0.33302291681332363,R
48,0.04240200448520853,0.3074444549935731,0.20078581510629642,0.5411982740016626,0.2429584267374206,R
49,0.8740707727625112,0.8103607476732267,0.7253473778113129,0.6262883977633663,0.784484531056885,M
50,0.49006842814023,0.329973022065482,0.028672368018715737,0.0690357358387803,0.4388870312731901,R
51,0.4859402476312715,0.05153519048038761,0.011261235233121163,0.2720494035303073,0.2519160743114474,R
52,0.07432911581177278,0.34973696094751405,0.2760949007280697,0.20302443711644913,0.30933991821541323,R
53,0.21371209371424477,0.23498493554482122,0.45601796505987235,0.11998355645769854,0.18451572862496737,R
54,0.02347474296525008,0.15460484031599458,0.4643483046801424,0.20179170811810815,0.4208001560958059,R
55,0.40761802907678363,0.06883444002126742,0.3412693705775469,0.49648334409965006,0.07940548176263873,R
56,0.17590325653625338,0.14304289647219812,0.2598061115883196,0.5484087648508957,0.4380168944576435,R
