,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.34314031760333535,0.08492939038831271,0.1253575952150372,0.3072890365746862,0.5470953657645997,R
1,0.07586669098878324,0.20979841944322855,0.17039075886386296,0.32761819658300473,0.383956317574152,R
2,0.490562667384584,0.8110507987447882,0.4432623221503353,0.9605211531206668,0.5518756189866059,M
3,0.4564597629834567,0.1986113139103274,0.5466286697326947,0.18454372107984376,0.5169720551300179,R
4,0.08630915377907299,0.1361495691302702,0.1788806286123826,0.5151214948861341,0.24880537991124715,R
5,0.8559095814885036,0.8299448190493977,0.5631003987932952,0.5451991632149915,0.9486131378455078,M
6,0.017987474509093663,0.31401734591225955,0.14289944209176708,0.1036313066687596,0.11836556622946967,R
7,0.03837820793491321,0.4574343076691676,0.28092189398007594,0.3137650486106212,0.3984143019948043,R
8,0.5259555153832121,0.2025320505694898,0.07691789676363697,0.13059734843655701,0.42555683067662065,R
9,0.18454157596092022,0.2264398865296577,0.07607565732482532,0.27318444077675985,0.1468528380346679,R
10,0.011444668264043998,0.5383221778115351,0.09408904376008244,0.3589058851068542,0.49261558825613405,R
11,0.09512600698410872,0.46886269625675714,0.28846266259520564,0.4739692012211548,0.4798415375426926,R
12,0.6745177572815713,0.9171203812554425,0.6047636805674375,0.9218707365982488,0.7802095265969515,M
13,0.7128101686155932,0.5287759906019807,0.5874159402406273,0.9283733712496007,0.9423570494712765,M
14,0.8723539708378911,0.466445688657049,0.8701888007850485,0.48669515559742177,0.8882214362371951,M
15,0.07460083832510582,0.4345684412485672,0.270074952582754,0.13504148277456202,0.03212147630733721,R
16,0.6961679307603117,0.5441002907942717,0.9913548825590102,0.7187897167596359,0.9340183000801292,M
17,0.9944978152228985,0.6165161664770036,0.561057156086691,0.9325220294721819,0.7044408284943079,M
18,0.8738999429762478,0.87542022407687,0.885444944395345,0.5144314503879518,0.6797488671161951,M
19,0.011403646397290525,0.06371019523512521,0.17786711446947714,0.10191697220390784,0.2678405047554821,R
20,0.558380954229968,0.36308484412407377,0.34522397886228284,0.5151826981396456,0.023385239917680017,R
21,0.33081534627033016,0.08435722705251,0.3071660540800676,0.41708315684168534,0.11082921054264647,R
22,0.36021861211100537,0.2782038274453475,0.2500222901610483,0.1842473524339556,0.11762228405235185,R
23,0.5174113049733922,0.7116550388898687,0.7640632977513865,0.7150687748274427,0.970607217181674,M
24,0.9085559638877987,0.939803482388565,0.5058307303660214,0.5066128540005777,0.8418836522951457,M
25,0.06516006350149649,0.2868510852670593,0.05926509665256546,0.3256659220458293,0.14630556937357608,R
26,0.4301066324497864,0.7346335675987972,0.7651337704280782,0.9106776357073545,0.6196611262081205,M
27,0.4937265589121776,0.4713670435591412,0.7010639140004855,0.8244666198585764,0.4453583223354341,M
28,0.329182500578822,0.5124863424448772,0.16753808804069542,0.17447165887142738,0.5115736833623188,R
29,0.6062588822498296,0.7174123195870943,0.9269686209550436,0.7668065457830551,0.5321789616953212,M
30,0.891904505845172,0.471803679970896,0.6931191161579786,0.7941617201738576,0.6156428280057327,M
31,0.12012873606113664,0.07799996027090852,0.544708330238861,0.10961662775562689,0.07352461323764195,R
32,0.4150684603996727,0.24842791245027587,0.14744839865008472,0.3858066030177065,0.5292666974864392,R
33,0.6540113319060683,0.6120660634058118,0.5430238457834594,0.9032206403435533,0.48507392121623794,M
34,0.5652809282303562,0.1735502837089662,0.44573947358613913,0.020511716670697733,0.18842458679139895,R
35,0.8921658808071754,0.5149862327126015,0.5977907985610871,0.9073708084746734,0.7590931347749823,M
36,0.07457438974492152,0.2661122927167366,0.5007933976061834,0.05226070293063994,0.09927338011522131,R
37,0.5244260158338,0.5384879277151949,0.10986496038195846,0.10535231864474977,0.4271386792703524,R
38,0.16010345075141047,0.5026342686397781,0.4291483781496692,0.4624231799900945,0.40285877184791696,R
39,0.836578519483962,0.7852879947071436,0.668139415856222,0.5957997364983412,0.43488918282245437,M
40,0.8360252618480031,0.5212294211729505,0.8731728129871166,0.5801450295257422,0.55062229751706,M
41,0.15506575762625502,0.06490825898868667,0.0238968797183484,0.4767810695040369,0.0071495995258001556,R
42,0.11959621567383709,0.5515665453399565,0.4451269284987509,0.08068830560227619,0.30491691366699253,R
43,0.546594012217558,0.42219728256205624,0.8957405215393648,0.6608540624147432,0.806583573432593,M
44,0.14861819456314246,0.2183645798779973,0.37508252321545504,0.2790000401524079,0.32212214090329866,R
45,0.1465136840739738,0.01679197114444095,0.48927972182986423,0.4279903483483067,0.020366533470103455,R
46,0.6937024955172406,0.6848526786610905,0.7868831859898919,0.769146275631766,0.9106550019593295,M
47,0.5564419914241533,0.6118302233494071,0.4628383725596808,0.8822548976110623,0.6845027327597305,M
48,0.41952259531500563,0.7714132096841759,0.756890247291292,0.7461498816842759,0.7700103369476352,M
49,0.8173580695088974,0.8700954928649889,0.5637830003028186,0.8672778028411938,0.5576703795902821,M
50,0.7241510927107695,0.7448472031791251,0.5299075257249125,0.6918905693096806,0.5352235750671244,M
51,0.850504944409079,0.841721696684711,0.9630759068794448,0.8651249202354894,0.8022483918287011,M
52,0.45686382849721885,0.4345982297682655,0.3823396509651966,0.23663811388684003,0.04238060260440402,R
53,0.2534629051667876,0.13301356348403537,0.5337962996100116,0.1555741225312466,0.20910399479905586,R
54,0.7824266768970309,0.868690742218114,0.4220568793556636,0.9125598819488938,0.6455459175641677,M
55,0.563570012024201,0.858522722019984,0.9467263660006215,0.6341252840382359,0.8814027773417255,M
56,0.16022550962141194,0.5254022397627717,0.21207322410308296,0.18938396739275876,0.47543711089811086,R
